,,,Round 1,,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
40,40,CHA,Derrick Brown,brownde04,Xavier,3,171,2554,895,413,119,0.515,0.317,0.637,14.9,5.2,2.4,0.7,4.5,0.085,-1.3,0.4
41,41,MIL,Jodie Meeks,meeksjo01,Kentucky,10,539,12110,4988,1120,583,0.42,0.373,0.879,22.5,9.3,2.1,1.1,24.3,0.096,-0.6,4.2
42,42,LAL,Patrick Beverley,beverpa01,Arkansas,8,428,12060,3818,1877,1491,0.414,0.38,0.762,28.2,8.9,4.4,3.5,28.2,0.112,0.9,9
43,43,MIA,Marcus Thornton,thornma01,LSU,8,483,11299,5750,1348,677,0.425,0.358,0.83,23.4,11.9,2.8,1.4,20,0.085,0.2,6.2
44,44,DET,Chase Budinger,budinch01,Arizona,7,407,7998,3198,1240,473,0.43,0.352,0.797,19.7,7.9,3,1.2,13.9,0.083,-0.5,2.9
45,45,MIN,Nick Calathes,calatni01,Florida,2,129,2011,590,243,353,0.441,0.288,0.581,15.6,4.6,1.9,2.7,2.6,0.063,-0.5,0.8
46,46,CLE,Danny Green,greenda02,UNC,11,681,17298,6077,2375,1083,0.424,0.402,0.81,25.4,8.9,3.5,1.6,42.7,0.118,2.1,17.9
47,47,MIN,Henk Norel,norelhe01,,,,,,,,,,,,,,,,,,
48,48,PHO,Taylor Griffin,griffta01,Oklahoma,1,8,32,10,2,1,0.4,0,0.5,4,1.3,0.3,0.1,0,-0.039,-8.1,-0.1
49,49,ATL,Sergiy Gladyr,gladyse01,,,,,,,,,,,,,,,,,,
50,50,UTA,Goran Suton,,Michigan State,,,,,,,,,,,,,,,,,
51,51,SAS,Jack McClinton,,Miami (FL),,,,,,,,,,,,,,,,,
52,52,IND,A.J. Price,priceaj01,UConn,6,261,3929,1523,377,567,0.38,0.316,0.742,15.1,5.8,1.4,2.2,4.7,0.058,-1.3,0.7
53,53,SAS,Nando De Colo,decolna01,,2,119,1414,453,211,203,0.429,0.363,0.835,11.9,3.8,1.8,1.7,2.4,0.081,-0.7,0.5
54,54,CHA,Robert Vaden,,University of Alabama at Birmingham,,,,,,,,,,,,,,,,,
55,55,POR,Patty Mills,millspa02,Saint Mary's,11,668,12927,5829,1109,1543,0.43,0.389,0.851,19.4,8.7,1.7,2.3,30.1,0.112,0.6,8.4
56,56,DAL,Ahmad Nivins,,Saint Joseph's,,,,,,,,,,,,,,,,,
57,57,PHO,Emir Preldži?,preldem01,,,,,,,,,,,,,,,,,,
58,58,BOS,Lester Hudson,hudsole01,University of Tennessee at Martin,4,57,594,268,77,71,0.375,0.277,0.806,10.4,4.7,1.4,1.2,0.2,0.016,-2.1,0
59,59,LAL,Chinemelu Elonu,elonuch01,Texas A&M,,,,,,,,,,,,,,,,,
60,60,MIA,Robert Dozier,,Memphis,,,,,,,,,,,,,,,,,
